frametime, crtcoll, drawtime, crtupdate 
2.9438,2.2398,0.6591,0.0324
2.8709,2.1833,0.6397,0.0325
2.9559,2.2542,0.65,0.0344
2.9247,2.2513,0.6286,0.0328
3.0918,2.3935,0.6543,0.0313
2.9848,2.3077,0.6331,0.0319
2.9375,2.2445,0.6479,0.0322
2.9558,2.2787,0.6312,0.0324
2.8917,2.1852,0.6619,0.0327
2.9014,2.2255,0.6311,0.0316
2.9858,2.3051,0.6357,0.0325
2.9538,2.2767,0.633,0.0322
2.9927,2.3056,0.6431,0.031
3.0441,2.3658,0.6316,0.0332
2.968,2.2677,0.6532,0.0321
2.9653,2.2885,0.6304,0.0328
2.9257,2.2239,0.6573,0.0324
2.965,2.3016,0.6191,0.0328
2.8776,2.1931,0.6399,0.0315
3.0127,2.3502,0.6192,0.0314
2.9987,2.3051,0.6461,0.0311
2.9194,2.2548,0.6202,0.0324
2.8901,2.1956,0.6509,0.0317
3.0043,2.3436,0.6174,0.0317
2.8416,2.165,0.6322,0.0308
2.8466,2.1862,0.6176,0.0314
3.0718,2.3763,0.6413,0.0425
3.0126,2.3461,0.6237,0.0312
2.9056,2.2118,0.6491,0.0328
2.8461,2.1814,0.6215,0.0308
2.8587,2.1888,0.6248,0.0331
2.8438,2.1725,0.6248,0.031
3.0331,2.249,0.6303,0.0338
2.8764,2.2034,0.6189,0.0334
2.8556,2.1648,0.6471,0.0313
2.9755,2.3051,0.6269,0.0314
2.949,2.2435,0.661,0.0318
2.9103,2.2366,0.6297,0.0325
2.9657,2.2861,0.6359,0.0318
2.8492,2.174,0.6307,0.0317
2.8809,2.1771,0.6606,0.0317
2.8932,2.217,0.6295,0.0335
2.9491,2.2694,0.6364,0.0313
2.9659,2.2919,0.6305,0.0319
2.9569,2.2681,0.6453,0.032
2.9361,2.2618,0.6302,0.0323
3.0586,2.3749,0.6409,0.0313
2.9985,2.3248,0.6288,0.0319
2.9356,2.243,0.6481,0.0323
2.9969,2.3216,0.6318,0.0318
2.904,2.2024,0.6588,0.031
2.881,2.2057,0.6305,0.0316
2.9105,2.2075,0.6577,0.0318
3.1304,2.4572,0.6298,0.0315
3.1137,2.4223,0.648,0.0319
2.9964,2.321,0.6321,0.0311
3.022,2.3351,0.6434,0.0319
2.9637,2.2913,0.6284,0.0326
2.9158,2.2182,0.654,0.0314
2.9953,2.3226,0.6286,0.0324
3.078,2.3945,0.6399,0.0317
2.9501,2.2791,0.6277,0.0317
2.8883,2.1843,0.6612,0.0311
3.0574,2.3828,0.631,0.0315
2.9672,2.2657,0.6581,0.0311
2.8811,2.2052,0.6328,0.0314
2.9381,2.2531,0.6409,0.0325
2.9331,2.2592,0.6297,0.0314
2.9728,2.2788,0.6503,0.0316
2.9923,2.3146,0.6338,0.0323
2.869,2.1888,0.6363,0.0324
3.0405,2.3676,0.6295,0.0317
2.9783,2.2681,0.667,0.0315
2.9017,2.2274,0.6303,0.0323
2.9974,2.3176,0.6361,0.032
2.8434,2.1682,0.6319,0.0314
2.8877,2.202,0.6423,0.0315
2.9411,2.2662,0.6315,0.0317
2.8913,2.2017,0.6472,0.031
2.9837,2.3212,0.6195,0.0316
2.8544,2.1828,0.6298,0.0306
2.8047,2.1425,0.62,0.0307
2.8283,2.1624,0.6233,0.0311
2.8484,2.1859,0.6198,0.031
2.9294,2.2587,0.6283,0.0309
2.8414,2.1839,0.6147,0.0313
2.8633,2.1868,0.6346,0.0304
2.881,2.2194,0.6196,0.0304
2.8975,2.2189,0.6362,0.0308
2.8055,2.1402,0.623,0.0309
3.2297,2.265,0.6533,0.031
2.88,2.2128,0.6242,0.0308
2.8503,2.1646,0.6419,0.0323
2.9568,2.291,0.6195,0.0345
2.9183,2.254,0.6212,0.0315
2.9649,2.3035,0.6191,0.031
2.8816,2.1961,0.6428,0.0311
2.9571,2.2967,0.6181,0.0307
3.0035,2.3178,0.6436,0.0305
2.8345,2.1743,0.617,0.0313
2.8713,2.2055,0.6237,0.0305
2.9128,2.2526,0.6181,0.0304
2.9065,2.2161,0.6481,0.0305
2.9065,2.2442,0.6192,0.0316
2.9316,2.2405,0.6423,0.031
2.8906,2.2274,0.6188,0.0306
2.9417,2.2557,0.6397,0.0313
2.9544,2.2891,0.6207,0.0311
3.0526,2.3851,0.6224,0.0332
3.0151,2.3566,0.6154,0.0311
2.9113,2.2225,0.6442,0.0314
2.9335,2.259,0.6311,0.0315
2.9366,2.2351,0.6591,0.0306
3.0018,2.33,0.6289,0.031
2.9802,2.2797,0.6578,0.031
2.9729,2.3002,0.629,0.0314
2.9701,2.2672,0.6596,0.0317
3.0022,2.324,0.6321,0.0313
2.9743,2.26,0.655,0.0468
2.9336,2.2615,0.6283,0.0322
3.033,2.3342,0.6552,0.0311
3.173,2.5022,0.6277,0.0316
3.0011,2.3053,0.6523,0.0319
2.9674,2.2945,0.6301,0.0312
2.945,2.2434,0.6583,0.0318
2.9264,2.2521,0.6302,0.0323
3.0667,2.3687,0.654,0.0316
2.9402,2.2664,0.631,0.0312
2.9187,2.2367,0.6391,0.031
2.8884,2.2163,0.6286,0.0319
3.0265,2.3361,0.6471,0.0316
2.9122,2.2394,0.6279,0.0323
3.0128,2.3172,0.6524,0.0314
2.9663,2.2935,0.6291,0.0318
3.0658,2.3865,0.6365,0.031
2.956,2.2851,0.6275,0.0314
2.9531,2.2614,0.6475,0.0319
2.9798,2.3084,0.6282,0.0315
2.892,2.2126,0.6359,0.0315
2.9506,2.2783,0.6292,0.0313
2.935,2.2443,0.648,0.0309
2.8729,2.2019,0.6286,0.031
2.9321,2.2451,0.6421,0.0313
2.9078,2.2341,0.6295,0.0322
2.8963,2.2125,0.6413,0.0309
2.8605,2.1996,0.6178,0.0315
2.9757,2.2882,0.6457,0.0304
3.1039,2.2325,0.6197,0.0309
2.904,2.1777,0.6555,0.0348
2.8527,2.1888,0.6198,0.0308
2.8907,2.2168,0.6312,0.0308
2.9465,2.2848,0.6191,0.0309
2.8263,2.1577,0.6266,0.0304
3.0471,2.3891,0.6154,0.0308
2.8575,2.1687,0.6458,0.0307
2.7873,2.1276,0.6171,0.0308
2.9597,2.2811,0.6362,0.0308
